"","sensor","time","pm_1","pm_25","pm_10","location","day","sen","build_age","direction"
"273",3,253741,19,32,42,"in","Tuesday","03","new","east"
"274",3,254652,18,31,36,"in","Tuesday","03","new","east"
"275",3,255493,18,31,36,"in","Tuesday","03","new","east"
"276",3,256334,18,31,36,"in","Tuesday","03","new","east"
"277",3,257246,17,30,34,"in","Tuesday","03","new","east"
"278",3,258087,17,30,34,"in","Tuesday","03","new","east"
"279",3,258928,17,30,34,"in","Tuesday","03","new","east"
"280",3,259841,17,30,34,"in","Tuesday","03","new","east"
"281",3,260682,17,30,34,"in","Tuesday","03","new","east"
"282",3,261523,17,30,34,"in","Tuesday","03","new","east"
"283",3,262435,18,30,35,"in","Tuesday","03","new","east"
"284",3,263277,18,30,35,"in","Tuesday","03","new","east"
"285",3,264118,18,30,35,"in","Tuesday","03","new","east"
"286",3,265031,18,30,35,"in","Tuesday","03","new","east"
"287",3,265872,18,30,35,"in","Tuesday","03","new","east"
"288",3,266714,18,30,35,"in","Tuesday","03","new","east"
"289",3,267626,18,30,35,"in","Tuesday","03","new","east"
"290",3,268468,18,30,35,"in","Tuesday","03","new","east"
"291",3,269308,18,30,35,"in","Tuesday","03","new","east"
"292",3,270221,18,30,34,"in","Tuesday","03","new","east"
"293",3,271063,18,30,34,"in","Tuesday","03","new","east"
"294",3,271903,18,30,34,"in","Tuesday","03","new","east"
"295",3,272817,20,30,38,"in","Tuesday","03","new","east"
"296",3,273729,20,32,41,"in","Tuesday","03","new","east"
"297",3,274641,20,33,43,"in","Tuesday","03","new","east"
"298",3,275554,20,33,45,"in","Tuesday","03","new","east"
"299",3,276466,21,35,47,"in","Tuesday","03","new","east"
"300",3,277379,22,36,47,"in","Tuesday","03","new","east"
"301",3,278292,22,36,47,"in","Tuesday","03","new","east"
"302",3,279204,21,36,47,"in","Tuesday","03","new","east"
"303",3,280117,21,35,47,"in","Tuesday","03","new","east"
"304",3,281029,21,36,45,"in","Tuesday","03","new","east"
"305",3,281940,20,35,42,"in","Tuesday","03","new","east"
"306",3,282853,20,34,41,"in","Tuesday","03","new","east"
"307",3,283765,20,35,40,"in","Tuesday","03","new","east"
"308",3,284606,20,35,40,"in","Tuesday","03","new","east"
"309",3,285448,20,35,40,"in","Tuesday","03","new","east"
"310",3,286360,20,33,39,"in","Tuesday","03","new","east"
"311",3,287272,19,32,37,"in","Tuesday","03","new","east"
"312",3,288185,19,32,37,"in","Tuesday","03","new","east"
"313",3,289096,18,32,35,"in","Tuesday","03","new","east"
"314",3,290009,18,32,35,"in","Tuesday","03","new","east"
"315",3,290920,17,30,34,"in","Tuesday","03","new","east"
"316",3,291832,16,30,32,"in","Tuesday","03","new","east"
